Departamento;País;Latitude (generated);Longitude (generated);Inversión Minciencias;Número de proyectos
Vaupés;Colombia;0,4286;-70,9435;$5.069;4
Valle Del Cauca;Colombia;4,0647;-76,1235;$22.934;17
Tolima;Colombia;4,0946;-75,1173;$1.109;5
Sucre;Colombia;9,2123;-75,1916;$1.884;6
Santander;Colombia;6,9264;-73,2682;$23.689;22
Risaralda;Colombia;5,1161;-75,9818;$10.949;12
Quindío;Colombia;4,397;-75,6931;$1.373;2
Putumayo;Colombia;0,453;-76,0576;$2.837;4
Norte De Santander;Colombia;8,083;-72,864;$10.288;6
Nariño;Colombia;1,5231;-77,8806;$13.470;14
Meta;Colombia;3,2649;-72,8599;$0;1
Magdalena;Colombia;10,1353;-74,5033;$2.101;4
La Guajira;Colombia;11,429;-72,5904;$8.827;7
Huila;Colombia;2,7004;-75,4517;$6.343;8
Guaviare;Colombia;1,7902;-72,3759;$7.516;4
Guainía;Colombia;2,6074;-69,1896;$69;1
Cundinamarca;Colombia;4,7831;-73,6732;$7.457;9
Córdoba;Colombia;8,3988;-75,6873;$942;3
Chocó;Colombia;6,3261;-77,0824;$2.861;7
Cesar;Colombia;9,2706;-73,623;$185;5
Cauca;Colombia;2,145;-76,8702;$20.866;17
Casanare;Colombia;5,2981;-71,6765;$208;4
Caquetá;Colombia;1,1136;-74,747;$1.724;3
Caldas;Colombia;5,2908;-75,3371;$6.224;7
Boyacá;Colombia;5,8567;-72,7686;$1.561;5
Bolívar;Colombia;8,9058;-74,234;$18.751;27
Bogotá. D.C.;Colombia;4,2825;-74,1764;$100.848;53
Atlántico;Colombia;10,6593;-74,9954;$2.958;10
Arauca;Colombia;6,5709;-70,9573;$0;1
Antioquia;Colombia;7,1576;-75,445;$57.308;52
Amazonas;Colombia;-2,0622;-71,3264;$3.360;1
;Colombia;3,794;-73,606;;
